ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,,Forte Accuracy,Forte Precision,Forte Recall,,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
43,hfc,128,64,0.02,-38,2.75,,0.8226,0.9189,0.8870,0.9027,,0.8591,0.9381,0.9063,0.9220,,0.8770,0.9452,0.9189,0.9314,,0.7516,0.8738,0.8431,,0.8237,0.9254,0.8822,,0.8938,0.9546,0.9335,,1.90,4.24,6.19,0.9312,4.2204,1.0343,1.6719,1.1009,1.9971,6.1343,0.9467,,./results/res_hfc_128_64_-38.0_2.75_0.02.log
44,hfc,128,64,0.02,-38,2.8,,0.8220,0.9222,0.8833,0.9023,,0.8585,0.9403,0.9036,0.9216,,0.8751,0.9469,0.9151,0.9303,,0.7510,0.8756,0.8407,,0.8285,0.9340,0.8800,,0.8875,0.9543,0.9268,,1.84,4.20,6.12,0.9275,4.1788,1.0258,1.6718,1.1012,1.9770,6.0803,0.9458,,./results/res_hfc_128_64_-38.0_2.8_0.02.log
45,hfc,128,64,0.02,-38,2.9,,0.8242,0.9299,0.8788,0.9036,,0.8590,0.9457,0.8997,0.9221,,0.8706,0.9508,0.9071,0.9281,,0.7569,0.8861,0.8384,,0.8295,0.9403,0.8756,,0.8868,0.9606,0.9202,,1.70,4.09,6.04,0.9297,4.0721,0.9712,1.6423,1.0925,1.9770,5.8616,0.9417,,./results/res_hfc_128_64_-38.0_2.9_0.02.log
46,hfc,128,64,0.02,-39,2.75,,0.8200,0.9140,0.8886,0.9011,,0.8574,0.9340,0.9081,0.9209,,0.8744,0.9403,0.9205,0.9298,,0.7531,0.8684,0.8501,,0.8202,0.9211,0.8822,,0.8879,0.9502,0.9313,,1.90,4.24,6.19,0.9314,4.2184,1.0320,1.6633,1.0988,2.0021,6.1299,0.9469,,./results/res_hfc_128_64_-39.0_2.75_0.02.log
47,hfc,128,64,0.02,-39,2.8,,0.8205,0.9187,0.8848,0.9014,,0.8576,0.9371,0.9054,0.9210,,0.8745,0.9441,0.9168,0.9299,,0.7542,0.8723,0.8478,,0.8250,0.9296,0.8800,,0.8835,0.9521,0.9246,,1.84,4.20,6.10,0.9268,4.1769,1.0240,1.6631,1.0991,1.9801,6.0761,0.9454,,./results/res_hfc_128_64_-39.0_2.8_0.02.log
48,hfc,128,64,0.02,-39,2.9,,0.8251,0.9286,0.8810,0.9042,,0.8597,0.9440,0.9020,0.9225,,0.8714,0.9493,0.9092,0.9285,,0.7600,0.8826,0.8454,,0.8295,0.9403,0.8756,,0.8868,0.9606,0.9202,,1.70,4.09,6.04,0.9299,4.0718,0.9674,1.6341,1.0906,1.9844,5.8539,0.9406,,./results/res_hfc_128_64_-39.0_2.9_0.02.log
49,hfc,128,64,0.02,-45,2.8,,0.8103,0.9028,0.8878,0.8952,,0.8509,0.9254,0.9083,0.9167,,0.8656,0.9302,0.9193,0.9244,,0.7572,0.8618,0.8618,,0.8028,0.9039,0.8778,,0.8721,0.9412,0.9224,,1.84,4.21,6.12,0.9279,4.1711,1.0210,1.6487,1.0894,1.9837,6.0676,0.9468,,./results/res_hfc_128_64_-45.0_2.8_0.02.log
50,hfc,128,64,0.02,-45,3,,0.8158,0.9209,0.8773,0.8986,,0.8550,0.9393,0.9000,0.9192,,0.8652,0.9441,0.9062,0.9245,,0.7722,0.8862,0.8571,,0.8091,0.9242,0.8667,,0.8665,0.9512,0.9069,,1.70,3.97,5.90,0.9262,3.9378,0.9666,1.5363,1.0613,1.8623,5.7288,0.9413,,./results/res_hfc_128_64_-45.0_3.0_0.02.log
51,hfc,256,64,0.02,-37,2.75,,0.8350,0.9335,0.8878,0.9101,,0.8681,0.9499,0.9062,0.9275,,0.8797,0.9532,0.9154,0.9334,,0.7707,0.8919,0.8501,,0.8253,0.9400,0.8711,,0.9099,0.9658,0.9401,,2.47,4.71,6.66,0.9279,4.7299,1.0554,1.2840,1.0255,2.4847,6.7065,0.9493,,./results/res_hfc_256_64_-37.0_2.75_0.02.log
52,hfc,256,64,0.02,-37,2.65,,0.8381,0.9276,0.8968,0.9119,,0.8712,0.9460,0.9134,0.9294,,0.8839,0.9503,0.9230,0.9358,,0.7768,0.8849,0.8642,,0.8243,0.9336,0.8756,,0.9145,0.9618,0.9490,,2.50,4.80,6.78,0.9303,4.8337,1.0581,1.3242,1.0395,2.5852,6.8175,0.9501,,./results/res_hfc_256_64_-37.0_2.65_0.02.log
