ID,Method,Buffer Size,Hop size,Min IOI,Silence Threshold,Onset Threshold,,Global Accuracy,Global Precision,Global Recall,Global f1,,MAvg_pp Accuracy,MAvg_pp Precision,MAvg_pp Recall,MAvg_pp f1,,MAvg_t Accuracy,MAvg_t Precision,MAvg_t Recall,MAvg_t f1,,Piano Accuracy,Piano Precision,Piano Recall,Piano f1-score,Mezzoforte Accuracy,Mezzoforte Precision,Mezzoforte Recall,Mezzoforte f1-score,Forte Accuracy,Forte Precision,Forte Recall,Forte f1-score,Adj Min (ms),Avg (ms),Adj Max (ms),Percentage in Adj min-max,MAvg_t Mean,MAvg_t IQR,MAvg_t Var,MAvg_t SD,MAvg_t loTukeyFence,MAvg_t hiTukeyFence,MAvg_t percentageIn,,Logfile name
45,mkl,512,64,0.02,-42,0.6,,0.7349,0.8327,0.8622,0.8472,,0.7809,0.881,0.8702,0.8737,,0.7659,0.8848,0.8479,0.8600,,0.6469,0.8342,0.7424,,0.6778,0.7618,0.86,,0.8873,0.9055,0.9778,,5.36,8.24,10.91,0.9432,,,,,,,,,./results/res_mkl_512_64_-42.0_0.6_0.02.log
46,mkl,512,64,0.02,-42,0.5,,0.7344,0.8265,0.8682,0.8469,,0.7793,0.8733,0.8759,0.8728,,0.7653,0.8791,0.8545,0.8604,,0.6456,0.832,0.7424,,0.677,0.7524,0.8711,,0.888,0.9006,0.9845,,5.40,8.53,11.55,0.9514,,,,,,,,,./results/res_mkl_512_64_-42.0_0.5_0.02.log
47,mkl,512,64,0.02,-42,0.45,,0.7354,0.8218,0.875,0.8476,,0.7787,0.8697,0.8801,0.8726,,0.7643,0.8768,0.8576,0.8605,,0.6578,0.8346,0.7564,,0.677,0.749,0.8756,,0.8777,0.8882,0.9867,,5.43,8.67,11.76,0.9527,,,,,,,,,./results/res_mkl_512_64_-42.0_0.45_0.02.log
48,mkl,512,64,0.02,-48,0.75,,0.694,0.7657,0.881,0.8193,,0.7597,0.8335,0.8908,0.8573,,0.7575,0.8416,0.8807,0.8545,,0.6294,0.7545,0.7916,,0.6437,0.7114,0.8711,,0.8148,0.8318,0.9756,,5.34,7.82,10.03,0.9325,,,,,,,,,./results/res_mkl_512_64_-48.0_0.75_0.02.log
49,mkl,512,64,0.02,-48,0.85,,0.6852,0.7695,0.8622,0.8132,,0.7535,0.837,0.8759,0.8527,,0.7518,0.8454,0.8666,0.8503,,0.5918,0.747,0.74,,0.6528,0.7211,0.8733,,0.815,0.8385,0.9667,,5.28,7.61,9.66,0.9354,,,,,,,,,./results/res_mkl_512_64_-48.0_0.85_0.02.log
50,mkl,512,64,0.02,-48,1,,0.6844,0.7861,0.8411,0.8127,,0.7463,0.8467,0.8558,0.8488,,0.7454,0.8536,0.8487,0.8467,,0.5551,0.7468,0.6838,,0.6644,0.74,0.8667,,0.8382,0.8648,0.9645,,5.17,7.34,9.30,0.9409,,,,,,,,,./results/res_mkl_512_64_-48.0_1.0_0.02.log
51,mkl,1024,64,0.02,-44,0.6,,0.6872,0.8237,0.8057,0.8146,,0.731,0.8782,0.8121,0.8414,,0.7181,0.8844,0.7917,0.8275,,0.504,0.788,0.5831,,0.6772,0.7665,0.8533,,0.881,0.9066,0.969,,7.83,10.85,14.03,0.9626,,,,,,,,,./results/res_mkl_1024_64_-44.0_0.6_0.02.log
52,mkl,1024,64,0.02,-44,0.4,,0.7163,0.8184,0.8517,0.8347,,0.7592,0.8714,0.8549,0.8602,,0.7463,0.8792,0.8327,0.8473,,0.6101,0.8162,0.7073,,0.6667,0.7495,0.8578,,0.8772,0.8913,0.9823,,7.99,11.11,14.37,0.9496,,,,,,,,,./results/res_mkl_1024_64_-44.0_0.4_0.02.log
53,mkl,1024,64,0.02,-47,0.4,,0.7142,0.7862,0.8863,0.8333,,0.7796,0.8497,0.8981,0.8701,,0.7797,0.8596,0.8894,0.8690,,0.6538,0.7897,0.7916,,0.6589,0.7239,0.88,,0.8358,0.8487,0.9823,,7.99,11.07,14.33,0.9482,11.0095,1.269,2.1446,1.4062,8.5421,13.6181,0.9417,,./results/res_mkl_1024_64_-47_0.4_0.02.log
54,mkl,1024,64,0.02,-45,0.45,,0.7122,0.8097,0.8554,0.8319,,0.7656,0.8663,0.8647,0.8629,,0.7560,0.8746,0.8461,0.8537,,0.6024,0.7995,0.7096,,0.6765,0.7534,0.8689,,0.8599,0.8752,0.98,,7.95,11.01,14.19,0.9516,,,,,,,,,./results/res_mkl_1024_64_-45.0_0.45_0.02.log
